0. xi-1 = -1.0; xi = -0.5204778156996588; 
1. xi-1 = -1.0; xi = -0.5204778156996588; 
2. xi-1 = -0.5204778156996588; xi = -0.5204778156996588; 
3. xi-1 = -0.5204778156996588; xi = -0.3847125146212159; 
4. xi-1 = -0.3847125146212159; xi = -0.3847125146212159; 
5. xi-1 = -0.3847125146212159; xi = -0.3744463672398018; 
6. xi-1 = -0.3744463672398018; xi = -0.3744463672398018; 
7. xi-1 = -0.3744463672398018; xi = -0.3743903598762295; 
8. xi-1 = -0.3743903598762295; xi = -0.3743903598762295; 
Ответ: -0.3743903598762295 | Количество итераций: 8
